,iso_code,location,date,total_cases,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,people_vaccinated_per_hundred,population,gdp_per_capita
0,ABW,Aruba,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,107195.0,35973.78099999999
1,AFG,Afghanistan,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,39835428.0,1803.9870000000008
2,AGO,Angola,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,33933611.0,5819.494999999998
3,AIA,Anguilla,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,15125.0,0.0
4,ALB,Albania,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,2872934.0,11803.430999999999
5,AND,Andorra,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,77354.0,0.0
6,ARE,United Arab Emirates,2020-01,0.3870967741935484,0.0,0.0,0.03870967741935485,0.0,0.0,9991083.0,67293.483
7,ARG,Argentina,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,45605823.0,18933.907000000003
8,ARM,Armenia,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,2968128.0,8787.579999999996
9,ATG,Antigua and Barbuda,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,98728.0,21490.94299999998
10,AUS,Australia,2020-01,1.2258064516129032,0.0,0.0,0.04754838709677419,0.0,0.0,25788217.0,44648.709999999985
11,AUT,Austria,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,9043072.0,45436.685999999994
12,AZE,Azerbaijan,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,10223344.0,15847.418999999996
13,BDI,Burundi,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,12255429.0,702.2249999999998
14,BEL,Belgium,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,11632334.0,42658.57599999997
15,BEN,Benin,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,12451031.0,2064.235999999999
16,BES,Bonaire Sint Eustatius and Saba,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,26445.0,0.0
17,BFA,Burkina Faso,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,21497097.0,1703.1019999999994
18,BGD,Bangladesh,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,166303494.0,3523.983999999998
19,BGR,Bulgaria,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,6896655.0,18563.307000000015
20,BHR,Bahrain,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,1748295.0,43290.70500000001
21,BHS,Bahamas,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,396914.0,27717.846999999983
22,BIH,Bosnia and Herzegovina,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,3263459.0,11713.895000000002
23,BLR,Belarus,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,9442867.0,17167.967
24,BLZ,Belize,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,404915.0,7824.3619999999955
25,BMU,Bermuda,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,62092.0,50669.314999999966
26,BOL,Bolivia,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,11832936.0,6885.828999999999
27,BRA,Brazil,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,213993441.0,14103.451999999994
28,BRB,Barbados,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,287708.0,16978.067999999985
29,BRN,Brunei,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,441532.0,71809.25099999996
30,BTN,Bhutan,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,779900.0,8708.597000000003
31,BWA,Botswana,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,2397240.0,15807.374000000007
